chain_length,dimensionality,mean_hit_rate,std_hit_rate,n_trials
50,5550,0.9359800000000004,0.0001989974874213241,100
75,8325,0.9360000000000004,3.3306690738754696e-16,100
100,11100,0.9360000000000004,3.3306690738754696e-16,100
150,16650,0.9360000000000004,3.3306690738754696e-16,100
200,22200,0.9360000000000004,3.3306690738754696e-16,100
250,27750,0.9360000000000004,3.3306690738754696e-16,100
300,33300,0.9360000000000004,3.3306690738754696e-16,100
350,38850,0.9360000000000004,3.3306690738754696e-16,100
400,44400,0.9360000000000004,3.3306690738754696e-16,100
446,49506,0.9360000000000004,3.3306690738754696e-16,100
